SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,OCCUPATION_TYPE,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,FLAG_DOCUMENT_17,AMT_REQ_CREDIT_BUREAU_YEAR
100052,0,Revolving loans,F,N,Y,1,90000,180000,9000,180000,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,-7974,Sales staff,Self-employed,,0.53554226,,0,
100053,0,Cash loans,F,N,Y,0,202500,305221.5,17649,252000,Family,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20373,,XNA,,0.247664717,0.475849909,0,4
100054,0,Cash loans,F,N,Y,0,99000,260640,26838,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-20121,Medicine staff,Business Entity Type 3,,0.089240653,0.728141299,0,2
100055,0,Cash loans,F,N,N,0,130500,1350000,37255.5,1350000,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,-19727,Managers,Government,0.710427329,0.58918663,0.466864006,0,0
100056,0,Cash loans,M,Y,Y,0,360000,1506816,49927.5,1350000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-18264,Labourers,Transport: type 2,,0.523934047,,0,
100058,0,Revolving loans,F,N,Y,0,54000,135000,6750,135000,Unaccompanied,State servant,Higher education,Married,House / apartment,-12406,Core staff,School,0.656224804,0.450849723,0.479448981,0,0
100059,0,Cash loans,M,Y,Y,1,540000,675000,34596,675000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,-18632,Managers,Services,0.311509925,0.713354585,0.309275356,0,3
100060,0,Cash loans,M,Y,N,0,76500,454500,14661,454500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-12282,,Emergency,0.244561633,0.705947457,0.799296783,0,0
100061,0,Cash loans,F,N,Y,2,225000,314055,16164,238500,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,-10473,Core staff,Self-employed,0.1895958,0.702979105,0.701695774,0,5
100062,0,Cash loans,M,Y,N,0,81000,675000,32472,675000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-18611,,XNA,,0.662864927,0.73801962,0,2
100063,0,Cash loans,F,N,Y,0,180000,837427.5,45558,666000,Unaccompanied,Working,Higher education,Married,House / apartment,-12955,Managers,Medicine,0.552771902,0.616637293,0.070108844,0,4
100064,0,Cash loans,F,N,N,0,67500,298728,15381,202500,Family,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-21621,,XNA,,0.622708273,0.169428727,0,0
100068,0,Revolving loans,M,N,Y,0,81000,247500,12375,247500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-18248,Security staff,Security,0.237719719,0.609135292,0.513693766,0,0
100069,0,Cash loans,M,Y,Y,1,360000,640458,27265.5,517500,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,-14186,Labourers,Transport: type 4,,0.256737043,0.707699345,0,3
100070,0,Cash loans,M,Y,Y,0,540000,1227901.5,46899,1129500,Unaccompanied,Working,Higher education,Widow,House / apartment,-20544,Managers,Business Entity Type 3,,0.653597212,0.3392877,0,0
100071,0,Cash loans,F,N,Y,0,180000,1663987.5,86989.5,1588500,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,-20121,Accountants,Industry: type 11,,0.570666356,0.697146908,0,1
100072,0,Cash loans,M,N,N,0,180000,1080000,44118,1080000,Unaccompanied,Working,Incomplete higher,Single / not married,With parents,-7907,Sales staff,Trade: type 2,,0.026540775,0.434733249,0,4
100073,0,Cash loans,M,Y,Y,0,324000,1130760,40189.5,810000,Unaccompanied,Pensioner,Higher education,Civil marriage,House / apartment,-22843,,XNA,,0.733051193,0.234015167,0,1
100075,0,Cash loans,F,N,N,0,112500,95940,10462.5,90000,Family,Working,Higher education,Single / not married,House / apartment,-12240,,University,0.299606141,0.664543941,0.492060094,0,5
100076,0,Cash loans,M,Y,N,0,180000,315000,9679.5,315000,,Commercial associate,Secondary / secondary special,Married,House / apartment,-13866,Drivers,Transport: type 3,,0.584887356,0.095070396,0,0
100077,0,Cash loans,M,N,Y,0,180000,1256400,40657.5,900000,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12049,Core staff,Police,0.286783079,0.647347822,0.562060483,0,8
100078,0,Cash loans,F,Y,Y,0,180000,1035000,43983,1035000,Unaccompanied,State servant,Higher education,Married,House / apartment,-19550,Core staff,Government,0.796161123,0.5172704,0.429423684,0,3
100079,0,Revolving loans,M,N,Y,0,225000,270000,13500,270000,Unaccompanied,Working,Secondary / secondary special,Separated,Municipal apartment,-15359,Labourers,Construction,0.202477374,0.561922957,0.41359676,0,0
100080,0,Revolving loans,F,N,N,1,157500,450000,22500,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11956,Sales staff,Kindergarten,0.41150641,0.123888292,0.832785025,0,5
100081,0,Cash loans,M,Y,N,0,180000,450000,21109.5,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-10848,Labourers,Other,,0.645438493,,0,
100082,0,Cash loans,M,N,N,2,180000,450000,21109.5,450000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,-12009,Labourers,Business Entity Type 3,0.357706547,0.686504798,0.394495405,0,2
100083,0,Cash loans,M,Y,Y,0,103500,573628.5,24435,463500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-15406,Labourers,Business Entity Type 3,0.270766163,0.707126316,0.597192427,0,3
100084,0,Cash loans,M,N,Y,2,225000,495351,26140.5,459000,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,-14860,Labourers,Business Entity Type 3,,0.570527051,0.694092643,0,0
100085,0,Cash loans,M,N,Y,1,157500,755190,28894.5,675000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-11187,Drivers,Business Entity Type 1,,0.368718985,0.358951229,0,0
100086,0,Cash loans,F,N,Y,1,135000,675000,21775.5,675000,Unaccompanied,Commercial associate,Higher education,Widow,House / apartment,-14264,Labourers,Self-employed,,0.569873237,0.198620045,0,2
100087,0,Cash loans,F,N,Y,1,202500,1288350,37800,1125000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-17542,Cooking staff,Self-employed,,0.572064147,0.191821602,0,3
100088,0,Revolving loans,F,N,N,0,112500,135000,6750,135000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,-19467,,School,,0.58517403,0.408358853,0,2
100089,0,Cash loans,M,N,Y,0,135000,337761,15781.5,256500,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,-9666,Labourers,Self-employed,,0.550057993,0.53527625,0,3
100093,0,Cash loans,F,N,Y,1,94500,585000,28273.5,585000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-18253,Core staff,Postal,0.592700994,0.488599915,,0,3
100094,0,Cash loans,F,N,Y,0,108000,113760,5301,90000,Unaccompanied,Pensioner,Higher education,Single / not married,House / apartment,-22935,,XNA,,0.582735477,0.452533559,0,0
100095,0,Revolving loans,F,N,Y,2,67500,135000,6750,135000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-18693,Sales staff,Trade: type 7,0.586697592,0.304506115,,0,
100096,1,Cash loans,F,N,Y,0,81000,252000,14593.5,252000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-24794,,XNA,,0.023952367,0.72094415,0,0
100097,0,Cash loans,M,Y,Y,0,157500,760225.5,30280.5,679500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-17527,,Business Entity Type 3,,0.357342234,0.644679455,0,0
100098,0,Revolving loans,M,Y,N,0,225000,270000,13500,270000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,-17390,Drivers,Transport: type 3,,0.597081153,,0,
100099,0,Cash loans,F,N,Y,0,360000,733315.5,41076,679500,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,-23032,,XNA,,0.660578982,0.342528872,0,3
100100,0,Cash loans,M,Y,Y,2,202500,796396.5,38443.5,643500,Unaccompanied,Working,Higher education,Married,House / apartment,-15909,Managers,Industry: type 11,0.447675139,0.495765141,0.824594971,0,2
100101,0,Cash loans,F,Y,Y,0,202500,343377,22072.5,283500,Unaccompanied,State servant,Higher education,Single / not married,House / apartment,-18138,High skill tech staff,Business Entity Type 1,,0.71621221,,0,
100102,0,Cash loans,F,N,N,1,126000,327024,10264.5,270000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,-14321,Labourers,Transport: type 4,0.414794069,0.661108308,0.477649155,0,0
100103,0,Cash loans,F,N,Y,0,72000,450000,16965,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-21112,,School,,0.718057537,0.511891802,0,0
100104,0,Cash loans,F,N,Y,0,90000,547344,30690,472500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-18556,Waiters/barmen staff,Business Entity Type 3,0.763137062,0.644627372,,0,1
100105,0,Cash loans,F,N,Y,0,193500,225000,23755.5,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-19810,Managers,Government,0.765153942,0.254759957,0.411848556,0,4
100108,0,Cash loans,F,N,Y,3,171000,545040,31288.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-12780,Sales staff,Business Entity Type 3,,0.75666798,0.641368257,0,0
100110,0,Cash loans,M,Y,Y,3,135000,373140,25065,337500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-10744,Labourers,Housing,,0.640549301,0.328063161,0,2
100111,0,Cash loans,F,Y,N,1,112500,862560,27954,720000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,With parents,-10485,Sales staff,Business Entity Type 3,0.563323134,0.608604106,0.228883417,0,0
100112,1,Cash loans,M,Y,Y,0,315000,953460,64107,900000,Family,Commercial associate,Incomplete higher,Single / not married,With parents,-10199,,Industry: type 4,,0.432340212,0.077498546,0,2
100113,0,Cash loans,M,Y,N,0,76500,135000,6696,135000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,-15137,Low-skill Labourers,Agriculture,0.475761793,0.593018524,0.789880347,0,2
100114,0,Cash loans,F,N,Y,0,135000,284400,22599,225000,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,-10734,Labourers,Restaurant,0.395724267,0.154937074,0.26504943,0,2
100115,0,Cash loans,F,N,N,0,90000,315000,14683.5,315000,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,-15371,,Business Entity Type 3,,0.334300196,,0,2
100116,0,Cash loans,F,N,Y,0,243000,900000,32017.5,900000,Unaccompanied,Working,Higher education,Married,House / apartment,-14751,Core staff,Kindergarten,0.671271893,0.700273575,0.071055125,0,0
100118,0,Cash loans,F,N,Y,0,90000,675000,26541,675000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,-22471,,XNA,,0.626302919,,0,
100119,0,Revolving loans,F,N,Y,0,54000,180000,9000,180000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-11142,Medicine staff,Medicine,,0.500264294,0.077498546,0,0
100120,0,Cash loans,F,N,N,0,135000,781920,28215,675000,Unaccompanied,Working,Higher education,Married,House / apartment,-9650,Core staff,Government,0.25435166,0.169952951,0.121408286,0,0
100121,0,Cash loans,M,N,Y,0,126000,787131,26145,679500,Unaccompanied,Working,Secondary / secondary special,Married,With parents,-16798,Low-skill Labourers,Business Entity Type 2,,0.586150413,0.581483706,0,1
100122,0,Cash loans,F,N,N,1,76500,808650,26217,675000,Unaccompanied,Commercial associate,Higher education,Married,With parents,-10954,Core staff,Other,0.40556434,0.047291424,0.406617437,0,0
100123,0,Cash loans,F,N,N,0,103500,675000,19737,675000,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,-23719,Security staff,Medicine,,0.399366076,0.673830078,0,2
100124,0,Cash loans,M,N,Y,0,225000,448272,28647,396000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,-24051,,XNA,,0.710317857,0.554946769,0,8
100125,0,Cash loans,F,N,N,0,126000,263686.5,26208,238500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-21613,,XNA,,0.571330583,0.554946769,0,2
100126,0,Revolving loans,M,N,Y,2,135000,180000,9000,180000,Family,Working,Secondary / secondary special,Married,House / apartment,-12900,,Transport: type 4,,0.705093328,0.574446617,0,0
100127,0,Cash loans,M,N,Y,0,112500,52128,5341.5,45000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-21341,,XNA,,0.687003445,,0,
100129,0,Revolving loans,F,Y,Y,1,85500,135000,6750,135000,Unaccompanied,Working,Higher education,Married,House / apartment,-9415,,Business Entity Type 1,0.479544145,0.61020729,,0,0
100130,1,Cash loans,F,N,Y,1,157500,723996,30802.5,585000,Unaccompanied,Commercial associate,Incomplete higher,Separated,House / apartment,-10526,Sales staff,Trade: type 2,,0.282069491,0.12064103,0,0
100131,0,Cash loans,F,N,Y,0,270000,891072,45625.5,720000,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13830,Realty agents,Other,0.339402608,0.707972474,0.452533559,0,4
100132,0,Cash loans,F,N,Y,0,202500,1136439,73611,1089000,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,-23656,Cleaning staff,Business Entity Type 2,0.774880167,0.711288807,0.597192427,0,1
100133,0,Cash loans,F,N,N,0,67500,384048,18810,270000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,With parents,-9207,Core staff,Government,0.548646966,0.31675488,,0,
100134,0,Revolving loans,F,N,N,0,202500,180000,9000,180000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-10085,Secretaries,Medicine,0.329185781,0.749240836,0.694092643,0,0
100135,0,Cash loans,M,N,Y,0,135000,391194,26271,319500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-19829,Labourers,Business Entity Type 3,,0.720640158,0.320163367,0,5
100136,0,Cash loans,M,Y,N,1,157500,1571931,49356,1435500,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,-15949,Labourers,Business Entity Type 3,,0.682016629,,0,1
100137,0,Cash loans,F,Y,Y,0,225000,891072,45625.5,720000,Family,Pensioner,Secondary / secondary special,Married,House / apartment,-20284,,XNA,0.88648689,0.086719387,,0,
100138,0,Cash loans,M,Y,N,0,135000,824823,29223,688500,Unaccompanied,Pensioner,Higher education,Married,House / apartment,-14339,,XNA,0.667496334,0.607561818,0.572682505,0,0
100139,0,Cash loans,F,N,N,1,157500,302341.5,24016.5,261000,Family,Working,Secondary / secondary special,Married,House / apartment,-13286,,Business Entity Type 3,0.567775491,0.601408365,0.096318693,0,3
100140,0,Revolving loans,F,N,N,0,157500,675000,33750,675000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,-9223,High skill tech staff,Business Entity Type 3,0.370342363,0.715860953,,0,
100142,0,Cash loans,M,Y,Y,1,360000,579195,27994.5,468000,"Spouse, partner",State servant,Higher education,Civil marriage,House / apartment,-13379,High skill tech staff,Transport: type 2,,0.064858278,0.309275356,0,0
100143,0,Revolving loans,M,N,Y,0,162000,270000,13500,270000,Unaccompanied,State servant,Higher education,Married,House / apartment,-22881,Core staff,Government,0.659404369,0.678124761,0.683268831,0,4
100144,0,Cash loans,F,N,N,0,112500,535500,30028.5,535500,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,-16759,Sales staff,Self-employed,,0.611636696,,0,
100145,0,Cash loans,F,Y,Y,1,202500,260725.5,16789.5,198000,Family,Working,Secondary / secondary special,Separated,House / apartment,-16282,Labourers,Self-employed,0.647044872,0.746486406,0.739411754,0,3
100146,0,Cash loans,M,Y,Y,0,117000,327024,12456,270000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-22959,,XNA,,0.282326404,0.75574005,0,1
100147,0,Cash loans,F,N,Y,1,135000,518562,22099.5,463500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-16142,Labourers,Business Entity Type 3,0.684696445,0.410907001,0.73801962,0,4
100148,0,Cash loans,F,N,Y,0,247500,755190,36459,675000,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,-16340,Medicine staff,Other,0.617715799,0.660559369,0.211550764,0,0
100149,0,Cash loans,M,Y,N,0,171000,539590.5,26374.5,445500,Family,Working,Secondary / secondary special,Married,House / apartment,-9203,Low-skill Labourers,Self-employed,0.053182789,0.164463139,0.092012809,0,0
100151,0,Cash loans,M,N,N,0,135000,182016,11772,144000,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,-16522,Accountants,Business Entity Type 3,,0.695219137,0.729566691,0,1
100152,0,Cash loans,F,N,Y,0,157500,254412,9720,166500,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,-16083,Sales staff,Self-employed,,0.165442073,0.749021705,0,4
100153,0,Cash loans,M,Y,Y,0,202500,1107981,32526,967500,Family,Working,Secondary / secondary special,Married,House / apartment,-18413,Drivers,Construction,,0.668020435,0.353987608,0,5
100154,0,Revolving loans,M,N,N,0,144000,180000,9000,180000,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,-12157,Drivers,Self-employed,0.127392947,0.494961576,0.73801962,0,1
100155,0,Cash loans,M,N,N,0,157500,675000,21906,675000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-11944,Labourers,Construction,,0.282078347,0.565607981,0,0
100156,0,Cash loans,F,Y,N,2,157500,945000,39127.5,945000,Family,Commercial associate,Secondary / secondary special,Married,With parents,-14235,Medicine staff,Medicine,,0.597822703,0.746300213,0,1
100157,0,Cash loans,M,N,Y,0,180000,1755000,61132.5,1755000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-16086,,Business Entity Type 3,0.867871687,0.147684817,0.669056695,0,2
100158,0,Cash loans,M,N,N,0,180000,590337,27486,477000,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,-12348,Core staff,Culture,,0.683702534,,0,1
100159,0,Cash loans,F,N,Y,0,225000,1515415.5,41800.5,1354500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,-14645,Sales staff,Trade: type 7,0.545858925,0.571250246,0.789880347,0,0
100160,1,Cash loans,M,N,Y,0,292500,675000,36747,675000,Unaccompanied,Working,Higher education,Married,House / apartment,-16667,Managers,Business Entity Type 3,0.320321865,0.631961233,0.289611238,0,0
100161,0,Cash loans,F,N,Y,0,90000,370629,13972.5,306000,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,-16219,Sales staff,Self-employed,,0.265311748,0.317031779,0,0
100162,0,Cash loans,F,N,Y,0,112500,547344,18216,472500,Family,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21061,,XNA,0.593567075,0.598243242,0.232724776,0,2
100163,0,Cash loans,F,N,Y,0,130500,550489.5,19773,454500,Unaccompanied,Working,Higher education,Separated,House / apartment,-19718,,Other,0.656938353,0.390993258,0.095070396,0,2
100164,0,Cash loans,F,Y,N,1,450000,407434.5,43362,387000,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,-16097,Core staff,Self-employed,,0.622029867,0.328063161,0,0
100165,0,Cash loans,F,Y,Y,0,175500,1293502.5,35568,1129500,Family,Pensioner,Secondary / secondary special,Married,House / apartment,-21961,,XNA,0.531106404,0.646688582,0.812822607,0,2
100166,0,Cash loans,F,N,Y,3,58500,152820,15241.5,135000,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,-14359,Core staff,Government,,0.524817579,0.156639827,0,4
100167,0,Cash loans,F,N,Y,0,180000,427500,46170,427500,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15127,,Hotel,,0.551307869,0.16146308,0,1
100173,0,Cash loans,F,N,N,0,117000,781920,26725.5,675000,Unaccompanied,Working,Higher education,Single / not married,House / apartment,-11633,Core staff,Government,0.723940465,0.636395165,0.452533559,0,1
100174,0,Revolving loans,F,N,Y,2,180000,225000,11250,225000,"Spouse, partner",Working,Incomplete higher,Married,Municipal apartment,-14597,Sales staff,Self-employed,,0.704793133,0.565607981,0,0
100175,0,Cash loans,F,N,Y,1,202500,1251072,45067.5,1080000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,-16296,,Industry: type 7,0.580366946,0.763648562,0.329655054,0,0
100176,0,Cash loans,F,N,Y,0,135000,1078200,31653,900000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,-17682,Labourers,Government,,0.585290807,0.81609236,0,1
100177,0,Cash loans,M,N,N,1,112500,312682.5,33309,297000,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,-14311,,Self-employed,0.319356537,0.603655037,0.595456203,0,0
100178,0,Cash loans,F,N,Y,0,119250,679500,28917,679500,Unaccompanied,Working,Higher education,Separated,House / apartment,-19286,,Self-employed,0.723371263,0.765125436,0.417099668,0,0
100179,0,Cash loans,F,Y,N,0,202500,675000,53329.5,675000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,-11375,Managers,Trade: type 7,0.674831513,0.616156424,0.673830078,0,4
100180,0,Cash loans,F,N,Y,1,315000,1288350,37800,1125000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,-15581,Accountants,Transport: type 4,0.729089909,0.509851954,0.675413291,0,3
100181,1,Cash loans,F,N,Y,0,157500,245619,12667.5,166500,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,-17538,Private service staff,Business Entity Type 3,,0.182171374,0.443615308,0,6
100182,0,Revolving loans,F,N,Y,1,112500,135000,6750,135000,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,-13558,Core staff,Government,0.464356177,0.751869227,0.420610964,0,3
100183,0,Cash loans,F,N,Y,0,103500,239850,23494.5,225000,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,-24729,,XNA,,0.600432949,0.795803133,0,0
100185,0,Cash loans,M,N,Y,0,58500,187704,10903.5,148500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,-20215,,XNA,,0.557347623,0.771361592,0,5
100186,0,Cash loans,F,N,Y,0,117000,269550,13095,225000,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21861,,XNA,,0.64130419,0.519097338,0,0
